id,nazev,absolutni_magnituda,prumer_max_metry,rychlost_km_h,vzdalenost_minuti_km,je_sentry_objekt,je_nebezpecny
54412460,(2023 XH),26.69,27.2922900914,20200.8603713287,25571673.055275564,False,False
54606983,(2026 FP6),24.386,78.85695058,16783.6672617432,26527066.971653957,False,False
54607505,(2026 GK),26.652,27.7740989728,64460.1788170088,1000779.441771538,True,False
54607519,(2026 GR),27.396,19.716961062,52421.3680775335,520327.541567676,True,False
54607522,(2026 GV),26.984,23.8363623509,63598.5164506424,2047973.806839478,False,False
54607526,(2026 GX),28.429,12.2529307433,28175.7563769842,920101.086083733,True,False
54607543,(2026 GG1),27.211,21.4703922495,46054.6811503715,185561.138108852,False,False
54607546,(2026 GL1),23.372,125.7882220879,31161.3989348394,7850938.179802535,False,False
3151655,(2003 FY6),22.61,178.6652036697,108441.7686650239,68882199.561968781,False,False
3751726,(2016 GV216),23.3,130.0289270043,17383.334547992,24777441.582478799,False,False
3840718,(2019 FY1),28.2,13.6157001539,27731.0710363514,24073358.50421381,False,False
3879228,(2019 UL),29.1,8.9958038817,36336.2173606048,49776051.782561081,True,False
3879543,(2019 UF5),25.6,45.0858206172,31373.2987088321,70550795.833330345,False,False
54016228,(2020 FM1),29.3,8.2042706488,65300.015914006,55518242.439710674,True,False
54099613,(2020 XJ3),25.7,43.0566244241,38042.7485641535,55243837.58001389,False,False
54200294,(2021 SH1),25.02,58.8897863577,36049.2694196803,10607501.790499474,False,False
54203711,(2021 TD4),23.52,117.5005714561,69938.1761782709,66282098.149456366,False,False
54265773,(2022 FX1),25.78,41.4992242792,41466.7534544219,38748895.025260633,False,False
54342587,(2023 EF),26.18,34.5175512843,16968.4081693404,23559208.786205228,False,False
54347996,(2023 DZ2),24.28,82.8018383048,26061.5862302655,1012421.611768335,False,False
54431986,(2024 FN3),25.35,50.5871227598,58282.4833181039,68981213.021558248,False,False
54606897,(2026 FG5),24.922,61.6084069047,89364.791443086,3285691.007610773,False,False
54606900,(2026 FL5),22.13,222.8640296264,83775.3529190094,14997880.766174457,False,False
54606914,(2026 FZ5),22.682,172.838297111,67546.1658046882,14593062.362607964,False,False
54606916,(2026 FB6),27.818,16.2345396718,24645.0194923395,4819928.270798822,False,False
54606976,(2026 FH6),24.976,60.0952268316,29232.3967265339,6931731.225228005,False,False
54606980,(2026 FM6),23.444,121.6858216135,21311.9240484828,25337133.260373185,False,False
54607052,(2026 FF7),27.472,19.0388178462,47046.6607160851,1771462.818570112,False,False
2399325,399325 (1999 GY5),20.18,547.0663205095,76988.2944147674,10534110.511617026,False,False
3329371,(2006 GC1),20.5,472.1064988055,110380.6465987331,13278542.572805037,False,True
3515691,(2010 GC35),24.66,69.5088300671,18934.9984013842,20748942.203020375,False,False
54016757,(2020 HK6),27.6,17.948988478,102928.3815357677,68065650.091579474,False,False
54137800,(2021 GH13),25.93,38.7293295383,31013.0181901458,36721033.963892453,False,False
54192215,(2021 RF2),25.75,42.0765359959,29454.00471416,41024560.829382601,False,False
54354397,(2023 GC2),27.29,20.7033192345,25985.2320989495,12308412.727679312,False,False
54354355,(2023 GQ1),30.27,5.2485577338,56087.9296941974,69262006.383494447,False,False
54385807,(2023 SK3),25.87,39.8143819809,36224.9384649016,31706460.583363917,False,False
54563486,(2025 WL5),24.06,91.6304836251,14378.6834902277,28487665.285200618,False,False
54606901,(2026 FM5),24.643,70.055135719,21103.8343865817,23453490.140645343,False,False
54607045,(2026 FW6),25.581,45.4820444999,71371.7237307474,5903781.219915587,False,False
54607491,(2026 GH),23.518,117.6088433352,49962.4883498866,13111598.81481875,False,False
54607512,(2026 GQ),27.065,22.9636002873,62456.4849909974,1373643.411190717,True,False
3154493,(2003 JV14),21.39,313.3574170739,40956.8234383552,30405998.310927659,False,False
3774010,(2017 HB1),26.3,32.6617897446,57973.4084333254,45898247.797875912,False,False
3831725,(2018 TS4),27.6,17.948988478,13196.0207456958,28291291.946077729,False,False
3840710,(2019 FH1),25.29,52.0043866724,15630.7975507907,10132004.122956402,False,False
54135787,(2021 GD5),27.2,21.5794304844,68711.6194947385,61235590.246257013,False,False
54265625,(2022 FK1),26.47,30.2022973344,83460.5764694672,72442034.051877874,False,False
54606545,(2026 FS2),24.227,84.8476813526,46280.2385585063,9711739.290518799,False,False
54606736,(2026 FD4),27.754,16.7201426661,21556.1963132447,3046750.297689373,False,False
54606832,(2026 FR4),27.294,20.665217415,24562.8092014115,5355877.345544443,False,False
54606985,(2026 FR6),25.804,41.043083274,61407.3703166406,5858507.668528137,False,False
54607105,(2026 FQ8),25.921,38.8901822858,29094.5778400809,3083591.211622154,False,False
54607477,(2026 GA),25.935,38.6402545522,22433.9760370734,3014728.185465671,False,False
3781451,(2017 RK15),25.68,43.4550224647,73631.5011667073,74511218.443117432,False,False
3781889,(2017 SK16),22.92,154.8959201062,85861.1797136392,58269240.994683826,False,False
3840727,(2019 FQ1),27.2,21.5794304844,36350.170390881,3671457.808277239,False,False
54054595,(2020 SS3),28.47,12.023751136,45593.331291864,46459920.779880152,False,False
54434342,(2024 GS5),26.01,37.3284518745,81815.0810612879,37175793.2527121,False,False
54467968,(2024 RF1),22.86,159.2355303825,47479.3034931914,43943242.230618775,False,False
54526039,(2025 GL),29.46,7.6214916608,22930.0766432517,3753948.557119881,False,False
